,material_tag,concept_tag,concept_slug,material_id,target
188,6,181,paris,62,0.0139036259731273
189,6,182,roland-simounet,62,0.0130626433866343
190,6,183,agence-france-presse,62,0.0117435978757962
191,6,184,1955,62,0.0101150319391592
194,6,185,champs-elysees,62,0.0076977317730482
195,6,186,2016,62,0.0076644295324961
197,6,187,gold,62,0.0075901991029528
198,6,188,1931,62,0.0068436193630998
199,6,189,july-31,62,0.0065223999014102
200,6,190,sustainable-development,62,0.0061571857069147
201,7,191,kalman-filter,63,0.0034389764634956
202,7,192,filter-band,63,0.0051798882885848
203,7,193,smoother-band,63,0.0051205893991988
204,7,194,tropical-rainforest-climate,63,0.0024244153898831
205,7,195,gaugino,63,0.001929685660133
206,7,196,ensemble-kalman-filter,63,0.0018223835217807
207,7,197,uncertainty,63,0.002326325511916
208,7,198,kernel-smoother,63,0.0013648071833486
209,7,199,the-new-normal-tv-series,63,0.0023724491563026
210,7,200,circumflex,63,0.0010777630817212
211,7,201,lyapunov-time,63,0.0010202088742102
212,7,202,voiceless-labiodental-fricative,63,0.0009434505046391
213,7,203,tilde,63,0.0008648625669449
214,7,204,boundary-value-problem,63,0.000842697116823
215,7,205,algorithm,63,0.0014190552077385
216,7,206,photographic-filter,63,0.0007933170789722
217,7,207,recursion,63,0.0013351286605664
218,7,208,time-magazine,63,0.0012680049844283
219,7,209,smoothing,63,0.0011490255275909
220,7,210,bayes-theorem,63,0.0007398225087784
221,7,211,multivariate-normal-distribution,63,0.000737131416569
222,7,212,statistics,63,0.0012762639162442
223,7,213,normal-distribution,63,0.0011683889465233
224,7,214,probability,63,0.0006460103719312
225,7,215,computer,63,0.0012190597893204
226,7,216,united-states,63,0.0010881198270543
228,7,217,musical-ensemble,63,0.0012010412744017
229,7,218,physics,63,0.0011915194236463
230,7,219,mathematics,63,0.0006115435063013
231,7,220,inference,63,0.0006007746205182
232,7,221,united-kingdom,63,0.0010284619924565
234,7,222,linearization,63,0.0005961133967751
235,7,223,stochastic-process,63,0.0010187710648141
236,7,224,nonlinear-system,63,0.0005903856573026
237,7,225,computer-science,63,0.0005882996948164
238,7,226,interval-mathematics,63,0.0009830741185912
239,7,227,covariance,63,0.0021593789552116
240,7,228,forward-association-football,63,0.0005584504468282
241,7,229,dental-alveolar-and-postalveolar-nasals,63,0.0009627960971389
242,7,230,information-theory,63,0.0010251236940755
243,7,231,time,63,0.0010378661921732
245,7,232,mathematical-model,63,0.0010488717936387
246,7,233,german-language,63,0.0009572881447087
247,7,234,p-o-d,63,0.00110842509671
248,7,235,matrix-mathematics,63,0.0015647034374087
249,7,236,statistical-model,63,0.0005318254693881
250,7,237,tab-key,63,0.0005222122844565
251,7,238,mass,63,0.0005210686222106
252,7,239,probability-distribution,63,0.0005148899595031
253,7,240,greek-language,63,0.0005134507209725
254,7,241,parameter,63,0.000512619295762
255,7,242,real-number,63,0.0010724559090696
256,7,243,california,63,0.0005101956617732
257,7,244,economics,63,0.0005092277923681
259,7,245,dimension,63,0.0010474428611251
260,7,246,variable-mathematics,63,0.0009396593687158
261,7,247,joint-probability-distribution,63,0.0004963771727425
262,7,248,electron,63,0.0004960002719686
263,7,249,chaos-theory,63,0.0009613466582692
264,7,250,chicago,63,0.0004909281570223
266,7,251,median,63,0.0004867280673393
267,7,252,particle-physics,63,0.0004839275279981
268,7,253,linear-algebra,63,0.0010360301051077
269,7,254,measurement,63,0.0008900635552022
270,7,255,interpolation,63,0.0004764461071441
271,7,256,bayesian-network,63,0.0004748543325076
272,7,257,post-turing-machine,63,0.0004745640117449
273,7,258,sound,63,0.000473629836544
275,7,259,pi,63,0.000467879264788
276,7,260,scientific-method,63,0.0008486145924202
277,7,261,polynomial,63,0.0004656625200968
278,7,262,rival-schools-band,63,0.0004632647574089
279,7,263,big-bang,63,0.0008021573134209
280,7,264,set-theory,63,0.0004601278958213
281,7,265,force,63,0.0004565490050612
282,7,266,hey-ocean,63,0.0004534977852572
283,7,267,world-war-i,63,0.0004533057077206
285,7,268,theory-of-relativity,63,0.0004456172718884
286,7,269,particle-filter,63,0.0004399459251263
287,7,270,sequence,63,0.0004371362319048
288,7,271,computer-graphics,63,0.0008575439529528
289,7,272,markov-property,63,0.0004343825227948
290,7,273,massachusetts,63,0.0004318764877766
291,7,274,integrated-circuit,63,0.0004292556542413
292,7,275,u-s-route-2,63,0.0004267718824552
293,7,276,mathematical-analysis,63,0.0004259354570914
294,7,277,bible,63,0.0004238059019826
295,7,278,c-programming-language,63,0.0009278585274126
296,7,279,hydrogen,63,0.0004235784340904
297,7,280,second,63,0.0004185237709108
298,7,281,computer-simulation,63,0.0004174577442669
299,7,282,approximation,63,0.0008086756279873
300,7,283,portland-oregon,63,0.0004172912595808
301,7,284,filter-signal-processing,63,0.0004168587809616
302,7,285,r-programming-language,63,0.0008059180263446
303,7,286,nitrogen,63,0.0004110151144952
306,7,287,distance,63,0.000408609355135
307,7,288,response-surface-methodology,63,0.0004083761090724
308,7,289,diameter,63,0.0007915595127425
309,7,290,vietnam-war,63,0.000404529397277
310,7,291,fourier-transform,63,0.0009656536083589
311,7,292,communication,63,0.0004022555147587
313,7,293,lead,63,0.0004003073624346
314,7,294,graph-theory,63,0.0003987943729313
315,7,295,latitude,63,0.0003987308925369
316,7,296,applied-mathematics,63,0.0008288769606859
317,7,297,singular-value-decomposition,63,0.0032177196952346
318,7,298,eigenvalues-and-eigenvectors,63,0.0018678757121756
319,7,299,gramian-matrix,63,0.001201164598139
320,7,300,lyapunov-vector,63,0.0011534356912743
321,7,301,covariance-matrix,63,0.0010879864022623
322,7,302,arpack,63,0.0009725552538394
323,7,303,eigendecomposition-of-a-matrix,63,0.0009065022238785
324,7,304,fifo-computing-and-electronics,63,0.0008106906169821
325,7,305,euclidean-vector,63,0.0007323930697538
326,7,306,massachusetts-institute-of-technology,63,0.0006252017511606
328,7,307,ud-cuneiform,63,0.0006190834512546
329,7,308,mit-opencourseware,63,0.0006109081932178
331,7,309,wavenumber,63,0.0005482097927405
332,7,310,lambda,63,0.0005362938053548
333,7,311,iteration,63,0.0005298266001336
334,7,312,science,63,0.000511558622977
336,7,313,copper,63,0.0004620917173155
337,7,314,signal-processing,63,0.0004499847925521
338,7,315,decomposition,63,0.0004487710999824
339,7,316,light,63,0.0004479485087566
340,7,317,absolute-value,63,0.0004464174804079
341,7,318,data,63,0.000442235984564
342,7,319,renormalization,63,0.0004371546348832
343,7,320,norm-mathematics,63,0.0004353686997604
344,7,321,differentiable-function,63,0.0004260816172224
345,7,322,alternative-rock,63,0.0004254913569484
346,7,323,universe,63,0.000420535645515
347,7,324,diagonalizable-matrix,63,0.0004200734187943
348,7,325,independent-record-label,63,0.0004196279013309
349,7,326,dynamical-system,63,0.0004182378710472
350,7,327,multiplication,63,0.0004059128796683
351,7,328,facebook,63,0.0004055428285209
352,7,329,system,63,0.0004018386520928
353,7,330,if-and-only-if,63,0.0004012549891751
354,7,331,world-war-ii,63,0.0003903349169357
355,7,332,graph-discrete-mathematics,63,0.000384799264631
356,7,333,angle,63,0.0003800423008617
357,7,334,symbol,63,0.0003783714489933
358,7,335,metric-mathematics,63,0.000369102263007
359,7,336,theory,63,0.0003687860105534
360,7,337,factorial,63,0.000368454770418
361,7,338,perturbation-theory,63,0.0003656241534709
362,7,339,big-o-notation,63,0.000365378113973
363,7,340,bioinformatics,63,0.0003647563882065
364,7,341,ratio,63,0.0003647408948535
365,7,342,spanish-language,63,0.0003639522992065
366,7,343,electricity,63,0.0003599463014174
367,7,344,multimedia,63,0.0003531496070526
368,7,345,maxima-and-minima,63,0.0003527239295443
369,7,346,digital-signal-processing,63,0.0003525565753835
370,7,347,addition,63,0.0003509073159254
371,7,348,list-of-aircraft-sd,63,0.0003493201990433
372,7,349,statistical-significance,63,0.0003474415619214
373,7,350,power-physics,63,0.0003406249040766
374,7,351,e-mathematical-constant,63,0.0003406088836629
375,7,352,domain-of-a-function,63,0.0003399439661712
376,8,353,united-states-environmental-protection-agency,64,0.0035153251078795
377,8,354,washington-d-c,64,0.002005687087917
378,8,355,mcgraw-hill-education,64,0.0019840485100263
379,8,356,stream-function,64,0.0019333221461654
380,8,357,hydraulic-containment,64,0.0016453430083799
381,8,358,groundwater,64,0.0022274815741811
382,8,359,qw,64,0.0011642355673957
383,8,360,aquifer,64,0.0040284284988058
384,8,361,linear-programming,64,0.0010245655764554
385,8,362,voiceless-labiodental-fricative,64,0.0010179694312505
388,8,363,long-island-sound,64,0.0007893337487631
389,8,364,national-priorities-list,64,0.0007730283832416
390,8,365,fiscal-year,64,0.0007530294823734
391,8,366,hydraulic-conductivity,64,0.0011775040096542
392,8,367,boston-university,64,0.0007372388968572
393,8,368,superfund,64,0.0006938757302625
394,8,369,stagnation-point,64,0.0006899413557181
395,8,370,washington-state,64,0.0006743028714189
396,8,371,800-metres,64,0.0006735473302564
397,8,372,hydraulics,64,0.000662314227344
398,8,373,florida,64,0.000649969536177
399,8,374,calabarzon,64,0.0006470914145494
400,8,375,boca-raton-florida,64,0.0006459282485896
401,8,376,q-magazine,64,0.0006311924396911
402,8,377,water,64,0.0010961415219088
406,8,378,potential-function,64,0.0005899205159882
407,8,379,massachusetts,64,0.0005888633021942
409,8,380,hydraulic-head,64,0.00209390470572
410,8,381,long-island,64,0.0005669183071282
411,8,382,new-york-city,64,0.0005647129025677
412,8,383,modflow,64,0.0005636025858695
413,8,384,engineering,64,0.0010421694434001
414,8,385,aircraft,64,0.0005506194254676
415,8,386,latin,64,0.0005422340979918
417,8,387,united-states-geological-survey,64,0.0005267674136442
418,8,388,greek-language,64,0.0009357596989063
420,8,389,computer,64,0.0009287438743898
422,8,390,pion,64,0.000492962205532
423,8,391,gradient,64,0.000491590768607
424,8,392,internet,64,0.0009514611353875
425,8,393,portland-oregon,64,0.000955230703118
427,8,394,environmental-engineering,64,0.0004731047237421
428,8,395,dvd-region-code,64,0.0004722384383081
429,8,396,fluid,64,0.0004695946139298
430,8,397,world-war-i,64,0.0004689862626211
432,8,398,mathematics,64,0.0004659793077845
434,8,399,french-language,64,0.0004603167259765
435,8,400,statistics,64,0.0008430779528517
438,8,401,western-europe,64,0.0004565855278723
439,8,402,cartesian-coordinate-system,64,0.0004558921978726
440,8,403,probability,64,0.0004528890272595
442,8,404,volt,64,0.0008391039667671
443,8,405,nobel-prize,64,0.0004466163917256
445,8,406,mass,64,0.0004346497639155
447,8,407,voiceless-bilabial-stop,64,0.0004266936301967
448,8,408,time,64,0.0004264594486667
451,8,409,moscow,64,0.0004190694695256
452,8,410,carbon,64,0.0008855198539096
454,8,411,embraer-emb-110-bandeirante,64,0.0004160128568493
455,8,412,q,64,0.0004136632821357
456,8,413,fluid-dynamics,64,0.0004128630824449
457,8,414,metre,64,0.0004119589612079
458,8,415,latitude,64,0.0004109420296764
460,8,416,crc-press,64,0.0004080000670015
461,8,417,molecule,64,0.0004070308979814
463,8,418,large-aircraft,64,0.0004052831951074
464,8,419,universe,64,0.0004052206111039
466,8,420,texas-instruments,64,0.0004000507053253
467,8,421,world-wide-web,64,0.0003976812199505
468,8,422,phi,64,0.0003928877903846
469,8,423,attenuation,64,0.0003912601345366
470,8,424,titanium,64,0.0003866520329679
471,8,425,construction,64,0.0003863924749295
472,8,426,sulfur,64,0.0007672015464231
474,8,427,university-of-michigan,64,0.0007994199272732
475,8,428,specific-storage,64,0.0003835117204154
476,8,429,radius,64,0.0003832024153537
477,8,430,quebec,64,0.0003830462811033
478,8,431,richard-nixon,64,0.0003811303701552
479,8,432,celsius,64,0.0003804489029882
480,8,433,mathematical-model,64,0.0003804351269618
482,8,434,bible,64,0.0003785788925361
485,8,435,friction,64,0.0003758643279885
486,8,436,nature,64,0.0003754254959636
487,8,437,water-well,64,0.0003748383453417
488,8,438,joule,64,0.0003738725789475
489,8,439,phosphorus,64,0.0007583089218988
490,8,440,flux,64,0.000370340412798
491,8,441,japanese-language,64,0.0003695380679451
492,8,442,national-institute-of-standards-and-technology,64,0.0003693893862689
493,8,443,television,64,0.0003679988500953
494,8,444,two-wheel-drive,64,0.0003679252797699
495,8,445,photography,64,0.0003670584987348
496,8,446,laplace-louisiana,64,0.0003666163944214
497,8,447,university,64,0.000365118924348
498,8,448,diameter,64,0.0003647321769205
500,8,449,oregon,64,0.0003633088419203
501,8,450,formula-one,64,0.0003612227881501
502,8,451,number,64,0.0003604848730701
504,8,452,power-physics,64,0.0003586003393052
506,8,453,business,64,0.0003567509751409
507,8,454,tonne,64,0.000356595906826
508,8,455,equator,64,0.0003552400713125
509,8,456,astronaut,64,0.0003543035106869
510,8,457,second,64,0.0003539956671747
512,8,458,distance,64,0.0003523380750968
514,8,459,design,64,0.0003506180898831
515,8,460,sieve-analysis,64,0.0003505943666348
516,8,461,united-states-senate,64,0.0007331567061906
517,8,462,theory,64,0.0003502387193406
519,8,463,fahrenheit,64,0.0003487867443346
520,8,464,circle,64,0.0003476934815931
521,8,465,western-culture,64,0.0003465919317211
522,8,466,computer-simulation,64,0.0003459736433108
524,8,467,electric-field,64,0.0003426728588461
525,8,468,new-world,64,0.0003396733237118
526,8,469,cross-section-geometry,64,0.0003395826497579
527,8,470,lyndon-b-johnson,64,0.0003394889615023
528,8,471,information-theory,64,0.0003392393465873
530,8,472,memphis-tennessee,64,0.0003369933738911
531,8,473,death,64,0.0003368747030206
532,8,474,law,64,0.0003367697588528
534,8,475,north-carolina,64,0.0015756728296193
535,8,476,california,64,0.0013965507861705
537,8,477,flocculation,64,0.0011999156077798
538,8,478,fresno-california,64,0.001113302779142
539,8,479,ph,64,0.0010498061096052
540,8,480,volatile-organic-compound,64,0.00102722491109
541,8,481,california-state-university-fresno,64,0.0009410653133973
542,8,482,nellis-air-force-base,64,0.0008533635262971
543,8,483,netherlands,64,0.0008421709939103
544,8,484,u-s-state,64,0.0008400620568574
545,8,485,rw,64,0.0008383735891105
546,8,486,bq,64,0.0007455360088591
547,8,487,san-fernando-valley,64,0.000714761413328
548,8,488,sweden,64,0.0006972574760357
549,8,489,university-of-georgia,64,0.0006956900482248
550,8,490,nevada,64,0.0006881146408361
551,8,491,rule-of-thumb,64,0.0006097051703112
552,8,492,coprecipitation,64,0.0005998438387966
553,8,493,agriculture,64,0.0005875750004177
554,8,494,turbulence,64,0.0005513055557574
555,8,495,sand,64,0.0005361700841209
556,8,496,university-of-georgia-college-of-agricultural-and-environmental-sciences,64,0.0005314356377703
557,8,497,oxidizing-agent,64,0.0005219484881142
558,8,498,san-francisco,64,0.0005153841848514
559,8,499,new-jersey,64,0.0005052650288377
560,8,500,george-w-bush,64,0.0005047888598876
561,8,501,michigan,64,0.0004999976887687
562,8,502,laminar-flow,64,0.0004985091444768
563,8,503,los-angeles,64,0.0004941683364938
565,8,504,iron,64,0.0004801116077271
566,8,505,petroleum,64,0.0004794124888303
567,8,506,industrial-revolution,64,0.00047713878761
568,8,507,activated-carbon,64,0.0004750688625505
569,8,508,gravel,64,0.0004635838677123
570,8,509,electricity,64,0.0004565474137095
572,8,510,lansing-michigan,64,0.0004468736257364
573,8,511,science,64,0.0004464065471881
576,8,512,air-pollution,64,0.0004306298517529
577,8,513,prentice-hall,64,0.0004301499467715
578,8,514,irrigation,64,0.000429170538028
579,8,515,metal,64,0.0004271914245666
580,8,516,coal,64,0.000423988437033
581,8,517,nitrogen,64,0.0004205178185414
583,8,518,north-hollywood-los-angeles,64,0.0004125754983143
584,8,519,ireland,64,0.0004115379132894
585,8,520,former-region-9-johannesburg,64,0.0004100125001123
586,8,521,united-states-air-force,64,0.0004028441424584
587,8,522,ukraine,64,0.0004023971416792
588,8,523,german-language,64,0.0004023421320976
590,8,524,national-collegiate-athletic-association,64,0.0003968181816561
